Feature	CompGroup(C)	BaseGroup(B)	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	95%Conf.Int.1	95%Conf.Int.2	MeanC	MeanB	NullValue-DifferenceInMeans	Alternative	Method	FDR
20	232317_at|PLXNA4	Incipent	Control	7	8	-1.30417139522789	-4.57245033602589	10.547686466423	0.00089123842378946	-0.568527322564844	-0.197739641720868	7.85611914285714	8.239252625	0	two.sided	Welch Two Sample t-test	0.999448188432275
21	210322_x_at|UTY	Incipent	Control	7	8	-1.46974882548396	-4.48173052497867	11.1670062337811	0.00089490007868034	-0.827913760130736	-0.283225489869264	2.596554	3.152123625	0	two.sided	Welch Two Sample t-test	0.999448188432275
22	230563_at|RASGEF1A	Incipent	Control	7	8	-1.50853450554926	-4.3172994933046	12.3828680496535	0.00093237334650819	-0.891468419550601	-0.294826973306541	4.72296642857143	5.316114125	0	two.sided	Welch Two Sample t-test	0.999448188432275
23	1567242_at|OR2L1P	Incipent	Control	7	8	-1.50648662055261	-4.3230681764846	11.679341385033	0.00105366532603543	-0.890054513971532	-0.29232120620704	3.04783805728571	3.639025917375	0	two.sided	Welch Two Sample t-test	0.999448188432275
24	225097_at|HIPK2	Incipent	Control	7	8	1.5077773374255	4.23578649428671	12.3503213434397	0.00108610092476147	0.288647319516111	0.896199466198174	7.95741914285714	7.36499575	0	two.sided	Welch Two Sample t-test	0.999448188432275
25	225841_at|HENMT1	Incipent	Control	7	8	-1.33053910355176	-4.37769408968691	10.8723626683612	0.00113408898292816	-0.619455842233659	-0.204565979194913	2.79976571428571	3.211776625	0	two.sided	Welch Two Sample t-test	0.999448188432275
26	226294_x_at|FAM91A1	Incipent	Control	7	8	-1.28000647404882	-4.44608543164683	10.3089781957575	0.00115360986237099	-0.533912421145701	-0.178389793140015	5.71771214285714	6.07386325	0	two.sided	Welch Two Sample t-test	0.999448188432275
27	231844_at|RBM28	Incipent	Control	7	8	1.44826245424213	4.16531319352116	12.546072309492	0.00119390648716851	0.256169979269023	0.812476163588121	4.38430157142857	3.8499785	0	two.sided	Welch Two Sample t-test	0.999448188432275
28	38290_at|RGS14	Incipent	Control	7	8	-1.32623683352213	-4.26880433742732	11.0822967005259	0.0013014313827085	-0.617171007470491	-0.197505849672367	5.32093157142857	5.72827	0	two.sided	Welch Two Sample t-test	0.999448188432275
29	1553108_at|C5orf24	Incipent	Control	7	8	-1.75437469648257	-4.94448772697755	7.60977156806768	0.00130688901836269	-1.19257266055351	-0.429341157732203	3.21872816585714	4.029685075	0	two.sided	Welch Two Sample t-test	0.999448188432275
