Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340566,0.0118727726593019,0,0.0218628778776883,0.192637133153601,0,0,0,0,0.14037594104565,0.113438611913528,0.0186381422315296,0,0.0495859727463606,0,0.0431275934774455,0.229551369706755,0,0.0281226182553969,0,0.147002547534799,0.00378441939794491,0,0,0.0495929134258519,1.08368860362315
GSM340567,0.0241343206250828,0,0,0,0,0.136541927196517,0.017355576693128,0.0283014659184719,0.0152341708934355,0,0.054403882576099,0,0.10413719003119,0,0.022198658052406,0.251102796391124,0.0282431493185595,0.0473424563025537,0.243943941491501,0.027060464509931,0,0,0,0.0456076269793624,1.06042022232266
GSM340568,0.0357018092812036,0,0.0816946532822029,0.20862072429963,0,0.0170013172628665,0.0900809834495367,0,0.0924482241690156,0.00866609715791402,0.0625327159199511,0,0.0248542876480826,0.0263638369266122,0.107114396945107,0.151228274681584,0.0271522756413498,0.017630229197479,0,0.0489101741374645,0,0,0,0.0877511326938888,1.05494951881748
GSM340569,0.049670956743009,0,0,0,0,0.279313052891864,0,0.0021661609139903,0.149964649320149,0,0.05746753239685,0.0417410782097462,0.0608280349812542,0,0.0552043950000759,0.212635896878832,0,0.0324079693695524,0.0586002732946772,0,0,0,0,0.0419473354511969,1.07675517225508
GSM340570,0.249395245297589,0.146990187239242,0.0766262569449857,0.0618479119330059,0,0.00129934187741836,0.0308154098229204,0.206782943798913,0.0191342251955045,0.0370478285582634,0.0125147974002027,0,0,0.0633551512106659,0.0242425713405144,0.044730919287019,0,0.0191305336217533,0.0042883318081009,0.00179834466390148,0,0,0,0.298854285757871,0.969465066654458
GSM340571,0.454599321562832,0,0.0345097519256698,0.0331627637700618,0,0.071444075047788,0.0199773928633685,0.102392906927352,0.00664229819415329,0,0.0535547314826087,0,0,0.115751820119607,0.0462687935561923,0.0455771030652841,0,0.0135243805706103,0,0.0025946609144717,0,0,0,0.33308392575058,0.959207822764843
GSM340572,0,0.077738231262997,0,0.230203852981843,0,0.120608602959962,0,0,0.0820536476281323,0.105155005230592,0,0,0.0370601829862644,0,0.0471862685459061,0.213517109288949,0,0.0198570521388592,0.0666200469764943,0,0,0,0,0.0370062073161126,1.08880751741764
GSM340573,0.129312732011385,0.138076896601116,0,0.0794193253645953,0.0646469678837046,0,0.0483746649171207,0.0437579186050387,0.00990001515471011,0.0662495481403633,0.0490458353029823,0,0.038163454483841,0.0850926225570413,0.0176263998126732,0.116481187575814,0,0.0643498088515009,0.0140834994483466,0.0354191232897669,0,0,0,0.0823834283726948,1.05273647026936
GSM340574,0.00649657265664353,0.156915728442918,0.00993110826207329,0.0633623234386673,0.0320289150754684,0.0233209617827293,0.00278834068478977,0.0541287399950768,0.163841646360078,0,0.0147692544325391,0,0.129943021044727,0.16072999773499,0.0742799657476555,0.0506122709565672,0,0.0224315698859436,0.0344195834991332,0,0,0,0,0.238300466301254,0.987607790137466
GSM340575,0.00410744431015805,0,0,0.176055368915162,0,0.178579349182517,0.0493591093687887,0,0.0447262402427226,0,0.0188456872094624,0,0.0397834526636828,0,0.0226243768266115,0.135429640043179,0.0198508818623065,0.056906339696486,0.243746241149585,0.00998586852933757,0,0,0,0.0333493153446395,1.07010725734293
GSM340576,0.021395527980791,0,0.0067055330473718,0,0.0576889178857197,0.169607782516866,0,0.0339368391710312,0,0,0.003750346472639,0.0387698770212675,0.108565795460066,0.0469400848099535,0.00918480169654332,0.117159412096039,0.0522943529931186,0.062542696446114,0.247051660664965,0.0192816676733375,0,0.00512470406417649,0,0.0817799695720821,1.04371163133212
GSM340577,0.0978956187775413,0.116178891125375,0.0894956633005547,0,0.0908574908061996,0,0.0327040646365012,0.0722093935259629,0.0629047504228877,0.148079084686084,0,0,0,0.0880552358862229,0.100844989186183,0.0257982531791886,0,0.0443895595812702,0.0300870613377898,0,0,0.00049994354823925,0,0.153065665573842,1.02563484510043
GSM340578,0.0727666759299632,0.288878202134988,0.0225575140092982,0.0892004023183189,0,0,0.00511181889261252,0.100531563396001,0.0792482990094034,0.000344883958616268,0,0.00637961384563712,0.0248550513834005,0.0757283729007556,0.0603067232305122,0.0703811878478168,0,0.014888359499828,0.088821331642849,0,0,0,0,0.174266131674293,1.01594255185175
GSM340579,0,0,0.0249216418786206,0,0.0326197847934439,0.0747854995511801,0.0689961233227526,0,0.0326152793014309,0,0.0192473460887209,0,0.0574707688933205,0,0.0147407677688958,0.293512279427225,0.0412288293886554,0.0751240350368553,0.241263110653736,0,0,0.0234745338951631,0,0.063252978177781,1.05282822973917
GSM340580,0,0,0,0.137848184824705,0,0.246077468411137,0,0,0.0404077816337375,0.0810490286384672,0,0.0204635869965149,0.035646797780691,0,0.03502406230972,0.222896248738761,0,0.0196937314835806,0,0.160893109182685,0,0,0,0.0479228630402828,1.0920804437346
GSM340581,0,0.0774965268215793,0,0.0567527367851678,0,0.0917014627900994,0,0,0.10462839139072,0.016643078654965,0.0283100812736456,0,0.105213307882506,0,0.104937519115566,0.160109899189713,0,0.10409577555411,0,0.150111220541927,0,0,0,0.0463048063726271,1.07858295198095
GSM340582,0.243746272153523,0.0943802295393874,0.145293505882268,0.0195784224037684,0,0.0769735261376882,0.0241043871470172,0.0759228047224968,0.0335876027508177,0.00603759677729431,0.00603293788958553,0,0.0170008174545028,0.156288365379655,0.013495008069463,0.0101994977279875,0,0.0311955532072654,0.0461634727572795,0,0,0,0,0.250483801383444,0.982263428009697
GSM340583,0,0,0.131012340854017,0,0,0.378801341795388,0.138984571034314,0,0.0666147767703784,0,0.0132921352377532,0,0.041287903155188,0,0.0629080589733918,0.0608494317883913,0,0.0626478636821545,0,0.0342795031982499,0.00128361816664867,0.00803845534412512,0,0.0697109485214659,1.05962396371653
GSM340584,0,0.0196795380181595,0,0.0335393131944149,0.000796390676653983,0.0700480602711409,0.117262477826137,0,0.110400452436162,0.000936629681528965,0.0925385551689961,0,0.0504349452508367,0,0,0,0.231863931869762,0.154100091847933,0,0.118399613758274,0,0,0,0.0393881313072876,1.07593457051406
